Year,Parameter,Parameter_Category,Operating_Area,System_City,System_City_Actual,System_City_Calculated
2011,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,2861,
2012,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,3086,
2013,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,3118,
2014,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,3540,
2015,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,4337,
2016,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,4286,
2017,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,4626,
2018,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,4301,
2019,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,4197,
2020,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,3223,
2021,Non-Coincident Peak Load MW,Electrical Grid,WOA,Makkah,3314,
